================================================================================
RECIPE SCRIPT - LEXICAL ANALYSIS (TOKENIZATION)
================================================================================
   1. Token(TokenType.RECIPE, recipe, 3:1)
  68. Token(TokenType.TEMP, temp, 17:1)
  69. Token(TokenType.IDENTIFIER, oven, 17:6)
  70. Token(TokenType.ASSIGN, =, 17:11)
  71. Token(TokenType.NUMBER, 350, 17:13)
  72. Token(TokenType.FAHRENHEIT, F, 17:17)
  73. Token(TokenType.SEMICOLON, ;, 17:18)
  74. Token(TokenType.WHEN, when, 19:1)
  75. Token(TokenType.IDENTIFIER, servings, 19:6)
  76. Token(TokenType.GT, >, 19:15)
  77. Token(TokenType.NUMBER, 2, 19:17)
  78. Token(TokenType.THEN, then, 19:19)
  79. Token(TokenType.LBRACE, {, 19:24)
  80. Token(TokenType.QUANTITY, quantity, 20:5)
  81. Token(TokenType.IDENTIFIER, extra, 20:14)
  82. Token(TokenType.ASSIGN, =, 20:20)
  83. Token(TokenType.NUMBER, 20, 20:22)
  84. Token(TokenType.SEMICOLON, ;, 20:24)
  85. Token(TokenType.SERVE, serve, 21:5)
  86. Token(TokenType.STRING, Large batch, 21:11)
  87. Token(TokenType.SEMICOLON, ;, 21:24)
  88. Token(TokenType.SCALE, scale, 22:5)
  89. Token(TokenType.IDENTIFIER, flour, 22:11)
  90. Token(TokenType.BY, by, 22:17)
  91. Token(TokenType.NUMBER, 1.2, 22:20)
  92. Token(TokenType.SEMICOLON, ;, 22:23)
  93. Token(TokenType.RBRACE, }, 23:1)
  94. Token(TokenType.ELSE, else, 23:3)
  95. Token(TokenType.LBRACE, {, 23:8)
  96. Token(TokenType.SERVE, serve, 24:5)
  97. Token(TokenType.STRING, Small batch, 24:11)
  98. Token(TokenType.SEMICOLON, ;, 24:24)
  99. Token(TokenType.RBRACE, }, 25:1)
 100. Token(TokenType.DISPLAY, display, 27:1)
 101. Token(TokenType.IDENTIFIER, servings, 27:9)
 102. Token(TokenType.SEMICOLON, ;, 27:17)
 103. Token(TokenType.DISPLAY, display, 28:1)
 104. Token(TokenType.IDENTIFIER, flour, 28:9)
 105. Token(TokenType.SEMICOLON, ;, 28:14)
 106. Token(TokenType.DISPLAY, display, 29:1)
 107. Token(TokenType.IDENTIFIER, water, 29:9)
 108. Token(TokenType.SEMICOLON, ;, 29:14)
 109. Token(TokenType.INGREDIENT, ingredient, 31:1)
 110. Token(TokenType.IDENTIFIER, dough, 31:12)
 111. Token(TokenType.ASSIGN, =, 31:18)
 112. Token(TokenType.IDENTIFIER, make_dough, 31:20)
 113. Token(TokenType.LPAREN, (, 31:30)
 114. Token(TokenType.IDENTIFIER, flour, 31:31)
 115. Token(TokenType.COMMA, ,, 31:36)
 116. Token(TokenType.IDENTIFIER, water, 31:38)
 117. Token(TokenType.RPAREN, ), 31:43)
 118. Token(TokenType.SEMICOLON, ;, 31:44)
 119. Token(TokenType.REPEAT, repeat, 33:1)
 120. Token(TokenType.NUMBER, 2, 33:8)
 121. Token(TokenType.TIMES, times, 33:10)
 122. Token(TokenType.LBRACE, {, 33:16)
 123. Token(TokenType.MIX, mix, 34:5)
 124. Token(TokenType.IDENTIFIER, dough, 34:9)
 125. Token(TokenType.SEMICOLON, ;, 34:14)
 126. Token(TokenType.RBRACE, }, 35:1)
 127. Token(TokenType.ADD, add, 37:1)
 128. Token(TokenType.IDENTIFIER, cheese, 37:5)
 129. Token(TokenType.TO, to, 37:12)
 130. Token(TokenType.IDENTIFIER, dough, 37:15)
 131. Token(TokenType.SEMICOLON, ;, 37:20)
 132. Token(TokenType.WHEN, when, 39:1)
 133. Token(TokenType.IDENTIFIER, oven, 39:6)
 134. Token(TokenType.GT, >, 39:11)
 135. Token(TokenType.NUMBER, 300, 39:13)
 136. Token(TokenType.THEN, then, 39:17)
 137. Token(TokenType.LBRACE, {, 39:22)
 138. Token(TokenType.SERVE, serve, 40:5)
 139. Token(TokenType.STRING, Oven ready!, 40:11)
 140. Token(TokenType.SEMICOLON, ;, 40:24)
 141. Token(TokenType.RBRACE, }, 41:1)
 142. Token(TokenType.SERVE, serve, 43:1)
 143. Token(TokenType.STRING, Done!, 43:7)
 144. Token(TokenType.SEMICOLON, ;, 43:14)
 145. Token(TokenType.EOF, None, 44:1)
